,Word,Emotion
0,0,0
1,1,0
2,2,0
3,0,0
4,3,0
5,4,0
6,3,0
7,5,0
8,6,0
9,7,0
10,8,0
11,9,0
12,10,1
13,11,1
14,12,1
15,0,1
16,13,1
17,14,1
18,15,2
19,0,2
20,16,2
21,17,2
22,18,2
23,19,2
24,20,2
25,0,1
26,21,1
27,0,0
28,22,0
29,23,0
30,24,0
31,25,0
32,26,3
33,27,3
34,28,3
35,29,3
36,30,3
37,31,3
38,32,3
39,33,3
40,34,3
41,35,3
42,0,3
43,3,3
44,36,3
45,0,4
46,37,4
47,38,4
48,39,4
49,40,4
50,41,4
51,42,4
52,43,4
53,44,4
54,45,5
55,42,5
56,0,5
57,46,5
58,47,5
59,48,5
60,49,5
61,50,5
62,0,2
63,51,2
64,52,2
65,0,0
66,53,0
67,48,0
68,54,0
69,55,0
70,56,0
71,0,5
72,57,5
73,58,5
74,59,5
75,60,5
76,53,5
77,61,5
78,62,5
79,63,5
80,64,1
81,65,1
82,66,1
83,28,1
84,42,1
85,0,1
86,67,1
87,0,0
88,68,0
89,69,0
90,70,0
91,7,0
92,71,0
93,53,5
94,72,5
95,73,5
96,74,5
97,75,5
98,76,5
99,77,5
100,78,5
101,79,5
102,80,5
103,28,5
104,81,5
105,82,5
106,38,5
107,83,5
108,84,5
109,85,5
110,86,5
111,87,5
112,88,5
113,0,5
114,22,5
115,89,5
116,0,5
117,90,5
118,91,5
119,92,5
120,93,0
121,0,0
122,94,0
123,0,0
124,95,0
125,96,0
126,97,0
127,28,0
128,98,0
129,0,0
130,99,0
131,100,0
132,53,0
133,101,0
134,3,0
135,102,0
136,103,0
137,104,0
138,105,0
139,100,0
140,106,0
141,107,4
142,0,4
143,108,4
144,109,4
145,110,4
146,111,4
147,112,4
148,113,4
149,0,1
150,114,1
151,115,1
152,116,1
153,117,1
154,0,4
155,118,4
156,119,4
157,53,4
158,120,4
159,121,4
160,0,4
161,122,4
162,123,4
163,124,4
164,125,4
165,126,4
166,127,4
167,128,4
168,129,4
169,130,4
170,131,4
171,97,4
172,132,4
173,53,5
174,133,5
175,134,5
176,135,5
177,136,5
178,121,5
179,137,5
180,138,5
181,139,5
182,140,5
183,133,5
184,3,5
185,141,5
186,136,5
187,121,5
188,142,1
189,0,1
190,143,1
191,144,1
192,145,1
193,146,1
194,147,1
195,148,1
196,149,1
197,19,0
198,150,0
199,3,0
200,151,0
201,152,0
202,153,0
203,154,0
204,155,0
205,156,0
206,53,0
207,38,0
208,157,0
209,158,0
210,3,0
211,159,0
212,160,0
213,161,0
214,162,0
215,163,0
216,164,0
217,165,0
218,0,0
219,166,0
220,0,0
221,3,0
222,167,0
223,168,0
224,169,0
225,170,0
226,168,0
227,171,0
228,172,0
229,119,0
230,0,0
231,173,0
232,0,1
233,174,1
234,175,1
235,0,1
236,176,1
237,177,1
238,178,1
239,179,1
240,180,1
241,181,1
242,182,1
243,0,5
244,183,5
245,184,5
246,185,5
247,186,5
248,187,5
249,101,5
250,188,5
251,189,5
252,0,5
253,190,5
254,191,5
255,192,5
256,193,5
257,194,5
258,195,4
259,0,4
260,196,4
261,197,4
262,198,4
263,199,4
264,55,3
265,200,3
266,201,3
267,202,3
268,203,3
269,199,3
270,204,3
271,0,3
272,205,3
273,183,3
274,198,3
275,206,3
276,207,1
277,208,1
278,133,1
279,209,1
280,95,1
281,210,1
282,211,1
283,212,1
284,14,1
285,213,1
286,214,1
287,215,1
288,15,1
289,216,1
290,48,1
291,217,1
292,199,1
293,218,5
294,219,5
295,220,5
296,38,5
297,221,5
298,222,5
299,223,5
300,224,5
301,0,5
302,225,5
303,226,5
304,227,5
305,228,5
306,229,5
307,53,5
308,230,5
309,231,5
310,232,5
311,233,5
312,234,5
313,235,5
314,60,5
315,236,5
316,25,5
317,48,5
318,0,5
319,237,5
320,0,5
321,176,5
322,238,5
323,239,5
324,240,5
325,18,5
326,241,5
327,0,5
328,242,5
329,128,5
330,243,5
331,244,5
332,245,5
333,246,5
334,0,1
335,247,1
336,248,1
337,249,1
338,250,1
339,251,1
340,252,1
341,253,1
342,0,1
343,247,1
344,13,1
345,254,1
346,255,1
347,176,5
348,176,5
349,176,5
350,256,5
351,0,5
352,227,5
353,257,5
354,107,5
355,80,5
356,258,5
357,259,5
358,260,5
359,261,5
360,262,5
361,38,5
362,263,5
363,264,5
364,265,5
365,266,5
366,267,5
367,268,5
368,269,5
369,35,5
370,0,5
371,270,5
372,142,5
373,53,5
374,271,5
375,188,5
376,0,5
377,272,5
378,70,5
379,25,5
380,273,5
381,98,5
382,274,5
383,275,5
384,276,5
385,277,5
386,22,5
387,278,5
388,199,5
389,0,5
390,279,5
391,240,5
392,280,5
393,128,5
394,281,5
395,0,5
396,282,5
397,283,5
398,284,5
399,285,5
400,286,5
401,287,5
402,48,5
403,288,5
404,0,0
405,3,0
406,289,0
407,142,0
408,290,0
409,291,0
410,188,0
411,292,0
412,42,0
413,293,0
414,188,0
415,292,0
416,294,0
417,0,0
418,295,0
419,176,0
420,296,0
421,131,0
422,297,0
423,298,5
424,299,5
425,300,5
426,301,5
427,70,5
428,19,5
429,302,5
430,7,5
431,240,5
432,0,5
433,0,5
434,201,5
435,274,5
436,18,5
437,303,5
438,28,5
439,117,5
440,299,5
441,304,5
442,303,5
443,183,5
444,28,5
445,305,5
446,306,5
447,307,5
448,299,5
449,218,2
450,85,2
451,2,2
452,308,2
453,133,2
454,240,2
455,226,2
456,309,2
457,310,2
458,311,2
459,312,2
460,313,5
461,314,5
462,315,5
463,316,1
464,0,1
465,317,1
466,102,1
467,0,1
468,318,1
469,176,5
470,0,5
471,319,5
472,48,5
473,25,5
474,7,5
475,281,5
476,80,0
477,0,0
478,22,0
479,320,0
480,149,0
481,0,1
482,321,1
483,322,1
484,323,4
485,22,4
486,247,4
487,81,4
488,133,4
489,324,4
490,2,4
491,325,4
492,263,4
493,326,4
494,327,5
495,328,5
496,65,5
497,107,5
498,329,5
499,330,5
500,331,5
501,332,5
502,333,5
503,334,5
504,335,5
505,336,5
506,337,5
507,65,5
508,338,5
509,339,5
510,9,5
511,340,5
512,341,5
513,0,0
514,18,0
515,342,0
516,343,0
517,344,0
518,345,0
519,346,0
520,347,0
521,348,0
522,349,0
523,350,0
524,351,0
525,352,0
526,353,0
527,354,0
528,348,0
529,309,0
530,64,0
531,0,0
532,176,0
533,48,0
534,0,0
535,40,0
536,355,0
537,76,0
538,3,0
539,356,0
540,204,0
541,357,3
542,0,3
543,358,3
544,359,3
545,360,3
546,35,3
547,361,3
548,296,3
549,362,3
550,53,5
551,133,5
552,53,5
553,363,5
554,364,5
555,365,5
556,366,5
557,367,5
558,368,5
559,369,5
560,199,5
561,370,5
562,102,5
563,31,5
564,0,5
565,371,5
566,372,5
567,373,5
568,150,5
569,374,5
570,290,5
571,28,5
572,375,5
573,376,5
574,0,5
575,377,5
576,378,5
577,379,5
578,380,5
579,381,5
580,382,5
581,53,5
582,64,5
583,3,5
584,383,5
585,146,2
586,0,2
587,384,2
588,385,2
589,386,2
590,387,2
591,0,2
592,388,2
593,26,2
594,389,2
595,390,2
596,391,2
597,0,4
598,392,4
599,393,4
600,394,4
601,395,4
602,396,4
603,397,4
604,53,4
605,398,4
606,399,4
607,400,4
608,401,4
609,102,4
610,53,4
611,402,4
612,28,4
613,403,4
614,133,4
615,404,4
616,405,4
617,406,4
618,165,4
619,407,4
620,408,4
621,409,4
622,107,3
623,410,3
624,411,3
625,403,3
626,412,3
627,0,3
628,413,3
629,0,1
630,321,1
631,201,1
632,414,1
633,415,1
634,12,1
635,215,1
636,252,1
637,416,1
638,417,1
