,Word,Emotion
0,0,1
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,1
24,24,1
25,18,1
26,25,1
27,26,1
28,27,1
29,28,1
30,29,1
31,30,1
32,31,1
33,25,1
34,24,1
35,32,1
36,33,1
37,34,1
38,35,1
39,36,1
40,26,1
41,37,1
42,38,1
43,39,1
44,40,1
45,41,1
46,42,1
47,43,1
48,44,1
49,45,1
50,46,1
51,47,1
52,48,1
53,49,1
54,50,1
55,51,1
56,52,1
57,53,1
58,54,1
59,20,1
60,3,1
61,55,1
62,56,1
63,57,1
64,33,1
65,58,2
66,59,2
67,60,2
68,61,2
69,62,2
70,63,2
71,56,2
72,18,2
73,64,2
74,65,2
75,66,2
76,56,2
77,67,2
78,68,2
79,69,2
80,70,2
81,71,2
82,72,2
83,58,2
84,62,2
85,73,2
86,74,2
87,75,2
88,76,2
89,49,2
90,77,2
91,56,2
92,78,2
93,79,2
94,80,2
95,81,2
96,82,2
97,65,2
98,62,2
99,56,2
100,83,2
101,1,2
102,84,2
103,58,2
104,85,2
105,86,2
106,87,2
107,62,2
108,56,2
109,18,2
110,88,2
111,21,2
112,56,2
113,89,2
114,90,2
115,26,2
116,91,2
117,62,2
118,92,2
119,93,2
120,94,2
121,95,2
122,96,2
123,97,2
124,98,2
125,56,2
126,99,2
127,100,2
128,101,2
129,72,2
130,102,2
131,103,3
132,104,3
133,105,3
134,106,3
135,86,3
136,107,3
137,108,3
138,109,3
139,110,3
140,21,3
141,65,3
142,111,3
143,112,3
144,113,3
145,114,3
146,115,3
147,116,3
148,117,3
149,118,3
150,119,3
151,120,3
152,121,3
153,105,3
154,122,3
155,123,3
156,124,3
157,125,3
158,85,3
159,126,3
160,127,3
161,128,3
162,129,3
163,130,3
164,131,3
165,109,3
166,132,3
167,133,3
168,134,3
169,135,3
170,136,3
171,137,3
172,138,3
173,111,3
174,139,3
175,140,3
176,141,3
177,142,3
178,143,3
179,109,3
180,144,3
181,105,3
182,145,3
183,146,3
184,147,3
185,148,3
186,149,3
187,150,3
188,30,3
189,151,3
190,152,3
191,18,3
192,19,3
193,102,3
194,5,3
195,110,3
196,153,3
197,154,3
198,109,3
199,155,3
200,156,3
201,157,3
202,158,4
203,159,4
204,160,4
205,161,4
206,63,4
207,162,4
208,163,4
209,164,4
210,56,4
211,165,4
212,166,4
213,167,4
214,168,4
215,169,4
216,20,4
217,170,4
218,171,4
219,172,4
220,173,4
221,79,4
222,174,4
223,175,4
224,172,4
225,176,4
226,177,4
227,178,4
228,179,4
229,180,4
230,181,4
231,182,4
232,118,4
233,119,4
234,62,4
235,56,4
236,29,4
237,183,4
238,118,4
239,119,4
240,184,4
241,185,4
242,63,4
243,162,4
244,186,4
245,187,4
246,188,4
247,189,4
248,190,4
249,191,4
250,103,4
251,137,4
252,192,4
253,104,4
254,56,4
255,99,4
256,100,4
257,193,4
258,58,4
259,194,4
260,195,4
261,196,4
262,197,4
263,198,4
264,116,4
265,199,4
266,200,4
267,62,4
268,63,4
269,201,4
270,202,4
271,158,4
272,203,4
273,204,4
274,161,4
275,205,4
276,172,1
277,206,1
278,9,1
279,207,1
280,208,1
281,209,1
282,210,1
283,211,1
284,212,1
285,213,1
286,214,1
287,10,1
288,215,1
289,216,1
290,217,1
291,218,1
292,219,1
293,220,1
294,221,1
295,222,1
296,172,1
297,223,1
298,224,1
299,225,1
300,226,1
301,227,1
302,228,1
303,43,1
304,229,1
305,230,1
306,231,1
307,232,1
308,233,1
309,23,1
310,98,1
311,234,1
312,235,1
313,26,1
314,160,1
315,236,1
316,38,1
317,237,1
318,238,1
319,62,1
320,206,1
321,239,1
322,58,1
323,35,1
324,240,1
325,241,1
326,42,1
327,56,1
328,242,1
329,243,1
330,20,1
331,65,1
332,229,1
333,244,1
334,245,1
335,246,1
336,247,1
337,248,1
338,215,1
339,249,2
340,250,2
341,120,2
342,62,2
343,63,2
344,251,2
345,252,2
346,253,2
347,119,2
348,82,2
349,62,2
350,254,2
351,255,2
352,256,2
353,63,2
354,257,2
355,258,2
356,259,2
357,260,2
358,112,2
359,261,2
360,59,2
361,50,2
362,26,2
363,56,2
364,262,2
365,263,2
366,264,2
367,62,2
368,86,2
369,265,2
370,266,2
371,98,2
372,56,2
373,18,2
374,267,2
375,268,2
376,21,2
377,269,2
378,270,2
379,58,2
380,271,2
381,272,2
382,273,2
383,76,2
384,274,2
385,152,2
386,16,2
387,209,2
388,275,2
389,44,2
390,276,2
391,21,2
392,56,2
393,277,2
394,278,2
395,279,3
396,41,3
397,280,3
398,281,3
399,122,3
400,109,3
401,282,3
402,283,3
403,105,3
404,137,3
405,284,3
406,285,3
407,87,3
408,286,3
409,287,3
410,18,3
411,288,3
412,289,3
413,116,3
414,290,3
415,291,3
416,189,3
417,292,3
418,293,3
419,294,3
420,105,3
421,146,3
422,295,3
423,296,3
424,140,3
425,297,3
426,298,3
427,299,3
428,300,3
429,13,3
430,120,3
431,301,3
432,78,3
433,209,3
434,18,3
435,302,3
436,110,3
437,286,3
438,303,3
439,59,3
440,154,3
441,304,3
442,305,3
443,122,3
444,109,3
445,30,3
446,142,3
447,306,3
448,104,3
449,307,3
450,140,3
451,308,3
452,309,3
453,310,3
454,134,3
455,137,3
456,130,3
457,311,3
458,312,3
459,116,3
460,313,3
461,314,3
462,315,3
463,316,3
464,110,3
465,317,3
466,190,4
467,318,4
468,319,4
469,310,4
470,160,4
471,161,4
472,320,4
473,73,4
474,56,4
475,321,4
476,322,4
477,323,4
478,109,4
479,261,4
480,324,4
481,325,4
482,259,4
483,326,4
484,62,4
485,57,4
486,327,4
487,328,4
488,329,4
489,330,4
490,331,4
491,130,4
492,62,4
493,63,4
494,163,4
495,58,4
496,154,4
497,189,4
498,332,4
499,120,4
500,333,4
501,334,4
502,335,4
503,336,4
504,62,4
505,337,4
506,338,4
507,339,4
508,340,4
509,341,4
510,104,4
511,118,4
512,119,4
513,342,4
514,343,4
515,344,4
516,345,4
517,346,4
518,347,4
519,194,4
520,348,4
521,203,4
522,56,4
523,29,4
524,349,4
525,182,4
526,129,4
527,350,4
528,62,4
529,351,4
530,352,4
531,239,4
532,353,4
533,56,0
534,354,0
535,276,0
536,56,0
537,18,0
538,355,0
539,18,0
540,356,0
541,357,0
542,82,0
543,236,0
544,358,0
545,359,1
546,360,1
547,361,1
548,56,1
549,362,1
550,363,1
551,260,2
552,56,2
553,364,2
554,365,2
555,152,2
556,12,2
557,366,2
558,56,1
559,367,1
560,56,0
561,249,0
562,368,0
563,369,0
564,254,0
565,30,3
566,370,3
567,20,3
568,371,3
569,372,3
570,373,3
571,374,3
572,375,3
573,376,3
574,377,3
575,56,3
576,18,3
577,378,3
578,56,4
579,379,4
580,102,4
581,380,4
582,381,4
583,382,4
584,140,4
585,137,4
586,383,4
587,384,5
588,140,5
589,56,5
590,385,5
591,386,5
592,62,5
593,387,5
594,388,5
595,56,2
596,389,2
597,390,2
598,56,0
599,72,0
600,62,0
601,391,0
602,392,0
603,274,0
604,56,5
605,393,5
606,394,5
607,395,5
608,13,5
609,72,5
610,396,5
611,397,5
612,398,5
613,65,1
614,399,1
615,400,1
616,20,1
617,140,1
618,56,1
619,401,1
620,56,0
621,402,0
622,403,0
623,172,0
624,82,0
625,404,0
626,72,5
627,405,5
628,228,5
629,406,5
630,407,5
631,66,5
632,408,5
633,409,5
634,410,5
635,105,5
636,20,5
637,411,5
638,319,5
639,102,5
640,412,5
641,413,5
642,414,5
643,415,5
644,416,5
645,417,5
646,56,5
647,249,5
648,418,5
649,56,5
650,419,5
651,339,5
652,420,5
653,421,0
654,56,0
655,422,0
656,56,0
657,423,0
658,424,0
659,425,0
660,20,0
661,162,0
662,56,0
663,426,0
664,427,0
665,72,0
666,428,0
667,18,0
668,429,0
669,430,0
670,431,0
671,432,0
672,427,0
673,433,0
674,434,4
675,56,4
676,435,4
677,436,4
678,437,4
679,438,4
680,24,4
681,11,4
682,56,1
683,439,1
684,440,1
685,441,1
686,168,1
687,56,4
688,109,4
689,442,4
690,72,4
691,443,4
692,444,4
693,56,4
694,445,4
695,446,4
696,63,4
697,447,4
698,448,4
699,146,4
700,210,4
701,353,4
702,449,4
703,450,4
704,425,4
705,451,4
706,72,5
707,188,5
708,452,5
709,453,5
710,454,5
711,444,5
712,455,5
713,456,5
714,457,5
715,458,5
716,188,5
717,18,5
718,459,5
719,454,5
720,444,5
721,460,1
722,56,1
723,461,1
724,462,1
725,463,1
726,464,1
727,465,1
728,466,1
729,467,1
730,12,0
731,468,0
732,18,0
733,469,0
734,95,0
735,470,0
736,266,0
737,471,0
738,472,0
739,72,0
740,102,0
741,38,0
742,473,0
743,18,0
744,474,0
745,223,0
746,1,0
747,475,0
748,476,0
749,70,0
750,477,0
751,56,0
752,478,0
753,56,0
754,18,0
755,479,0
756,240,0
757,480,0
758,481,0
759,240,0
760,482,0
761,483,0
762,442,0
763,56,0
764,484,0
765,56,1
766,485,1
767,486,1
768,56,1
769,487,1
770,488,1
771,489,1
772,490,1
773,352,1
774,491,1
775,492,1
776,56,5
777,92,5
778,493,5
779,494,5
780,495,5
781,496,5
782,428,5
783,497,5
784,498,5
785,56,5
786,499,5
787,500,5
788,501,5
789,502,5
790,503,5
791,85,4
792,56,4
793,504,4
794,505,4
795,506,4
796,98,4
797,392,3
798,112,3
799,507,3
800,508,3
801,509,3
802,98,3
803,120,3
804,56,3
805,510,3
806,92,3
807,506,3
808,511,3
809,512,1
810,513,1
811,188,1
812,514,1
813,423,1
814,19,1
815,515,1
816,516,1
817,363,1
818,517,1
819,518,1
820,21,1
821,260,1
822,519,1
823,62,1
824,520,1
825,98,1
826,521,5
827,522,5
828,523,5
829,102,5
830,524,5
831,525,5
832,67,5
833,526,5
834,56,5
835,527,5
836,528,5
837,89,5
838,529,5
839,530,5
840,72,5
841,205,5
842,531,5
843,532,5
844,308,5
845,533,5
846,123,5
847,13,5
848,534,5
849,254,5
850,62,5
851,56,5
852,535,5
853,56,5
854,487,5
855,536,5
856,537,5
857,538,5
858,152,5
859,539,5
860,56,5
861,540,5
862,210,5
863,541,5
864,542,5
865,170,5
866,543,5
867,56,1
868,544,1
869,545,1
870,546,1
871,547,1
872,548,1
873,549,1
874,78,1
875,56,1
876,544,1
877,362,1
878,550,1
879,551,1
880,487,5
881,487,5
882,487,5
883,552,5
884,56,5
885,89,5
886,553,5
887,434,5
888,105,5
889,554,5
890,71,5
891,555,5
892,556,5
893,557,5
894,102,5
895,558,5
896,559,5
897,560,5
898,561,5
899,562,5
900,563,5
901,564,5
902,377,5
903,56,5
904,94,5
905,460,5
906,72,5
907,565,5
908,497,5
909,56,5
910,566,5
911,172,5
912,254,5
913,567,5
914,162,5
915,87,5
916,568,5
917,128,5
918,569,5
919,249,5
920,570,5
921,98,5
922,56,5
923,571,5
924,538,5
925,572,5
926,210,5
927,573,5
928,56,5
929,574,5
930,575,5
931,576,5
932,577,5
933,578,5
934,579,5
935,62,5
936,580,5
937,56,0
938,18,0
939,581,0
940,460,0
941,582,0
942,304,0
943,497,0
944,583,0
945,140,0
946,584,0
947,497,0
948,583,0
949,58,0
950,56,0
951,585,0
952,487,0
953,586,0
954,450,0
955,587,0
956,261,5
957,588,5
958,589,5
959,590,5
960,172,5
961,12,5
962,591,5
963,82,5
964,538,5
965,56,5
966,56,5
967,507,5
968,87,5
969,152,5
970,288,5
971,20,5
972,168,5
973,588,5
974,592,5
975,288,5
976,92,5
977,20,5
978,139,5
979,593,5
980,5,5
981,588,5
982,521,2
983,414,2
984,276,2
985,594,2
986,188,2
987,538,2
988,528,2
989,69,2
990,595,2
991,596,2
992,597,2
993,598,5
994,599,5
995,600,5
996,201,1
997,56,1
998,328,1
999,429,1
1000,56,1
1001,601,1
1002,487,5
1003,56,5
1004,602,5
1005,62,5
1006,254,5
1007,82,5
1008,573,5
1009,105,0
1010,56,0
1011,249,0
1012,603,0
1013,467,0
1014,56,1
1015,604,1
1016,605,1
1017,606,4
1018,249,4
1019,544,4
1020,411,4
1021,188,4
1022,607,4
1023,276,4
1024,608,4
1025,558,4
1026,609,4
1027,610,5
1028,204,5
1029,399,5
1030,434,5
1031,611,5
1032,612,5
1033,613,5
1034,614,5
1035,615,5
1036,616,5
1037,617,5
1038,618,5
1039,619,5
1040,399,5
1041,620,5
1042,621,5
1043,358,5
1044,622,5
1045,623,5
1046,56,0
1047,152,0
1048,624,0
1049,625,0
1050,626,0
1051,627,0
1052,628,0
1053,629,0
1054,630,0
1055,631,0
1056,632,0
1057,209,0
1058,633,0
1059,634,0
1060,635,0
1061,630,0
1062,69,0
1063,65,0
1064,56,0
1065,487,0
1066,62,0
1067,56,0
1068,381,0
1069,636,0
1070,66,0
1071,18,0
1072,79,0
1073,120,0
1074,44,3
1075,56,3
1076,637,3
1077,638,3
1078,639,3
1079,377,3
1080,640,3
1081,586,3
1082,641,3
1083,72,5
1084,188,5
1085,72,5
1086,642,5
1087,643,5
1088,644,5
1089,645,5
1090,646,5
1091,647,5
1092,648,5
1093,98,5
1094,649,5
1095,429,5
1096,373,5
1097,56,5
1098,650,5
1099,651,5
1100,652,5
1101,468,5
1102,61,5
1103,582,5
1104,20,5
1105,653,5
1106,654,5
1107,56,5
1108,655,5
1109,656,5
1110,657,5
1111,658,5
1112,659,5
1113,660,5
1114,72,5
1115,65,5
1116,18,5
1117,661,5
1118,464,2
1119,56,2
1120,662,2
1121,663,2
1122,664,2
1123,665,2
1124,56,2
1125,666,2
1126,30,2
1127,667,2
1128,668,2
1129,669,2
1130,56,4
1131,670,4
1132,671,4
1133,672,4
1134,673,4
1135,674,4
1136,675,4
1137,72,4
1138,676,4
1139,677,4
1140,678,4
1141,679,4
1142,429,4
1143,72,4
1144,680,4
1145,20,4
1146,681,4
1147,188,4
1148,682,4
1149,683,4
1150,161,4
1151,477,4
1152,318,4
1153,259,4
1154,684,4
1155,434,3
1156,685,3
1157,686,3
1158,681,3
1159,687,3
1160,56,3
1161,688,3
1162,56,1
1163,604,1
1164,507,1
1165,287,1
1166,689,1
1167,361,1
1168,21,1
1169,549,1
1170,690,1
1171,230,1
1172,21,1
1173,691,1
1174,230,1
1175,692,1
1176,693,1
1177,694,1
1178,690,1
1179,695,1
1180,569,1
1181,152,1
1182,238,1
1183,696,1
1184,56,1
1185,697,1
1186,428,1
1187,483,1
1188,698,1
1189,699,0
